repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language
LiveOverflow/liveoverflow_youtube,455.00 ,202.00 ,5.00 ,4.00 ,0.00 ,C
taranjeet/blog,0.00 ,1.00 ,5.00 ,1.00 ,0.00 ,HTML
garimasingh128/Draw,1.00 ,4.00 ,5.00 ,0.00 ,4.00 ,HTML
ethereum/asyncio-run-in-process,11.00 ,7.00 ,5.00 ,1.00 ,6.00 ,Python
emersonsoares/asdf-dotnet-core,65.00 ,17.00 ,5.00 ,3.00 ,7.00 ,Shell
WhiteHouse/drushsubtree,11.00 ,10.00 ,5.00 ,1.00 ,4.00 ,NULL
zemse/bitcoin3js,3.00 ,0.00 ,5.00 ,5.00 ,2.00 ,JavaScript
Chirag321ratvekar/docker-project,0.00 ,0.00 ,5.00 ,0.00 ,0.00 ,NULL
byt3bl33d3r/ItWasAllADream,692.00 ,109.00 ,5.00 ,2.00 ,0.00 ,Python
offensive-security/masscan-web-ui,437.00 ,176.00 ,5.00 ,0.00 ,4.00 ,PHP
